Row,Parent Feature Summary,Story Summary,WAF Run/Change,WAF Color,WAF Category,WAF Sub-Category,Confidence
955,Migrated Delivery,Resolve post-migration defects impacting service delivery to enable required business functionality,Run,BLACK,Technical Maintenance,Platform upgrades,MEDIUM
956,Acquisitions ART Production Support,Resolve operational issues affecting downstream integrations to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
957,Acquisitions ART Production Support,Stabilize acquisition-related batch processing to support production operations,Run,GRAY,KTLO (Keep the Lights On),Batch operations,HIGH
958,Continuous Improvement Feature,Optimize deployment workflows for improved reliability to unblock dependent teams,Change,GREEN,Other Blocked Priority,Incremental improvements,MEDIUM
959,SRE Delivery: Chaos Engineering,Refine chaos experiment execution and rollback mechanisms to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
960,Continuous Improvement Feature,Refactor pipeline components to reduce operational overhead to drive continuous improvement,Change,ORANGE,Enterprise Strategic Priority,Process transformation,MEDIUM
961,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows to drive continuous improvement,Run,GRAY,KTLO (Keep the Lights On),Acquisition operations,MEDIUM
962,Migrated Delivery,Resolve post-migration defects impacting service delivery to unblock dependent teams,Run,BLACK,Technical Maintenance,Platform upgrades,HIGH
963,Continuous Improvement Feature,Optimize deployment workflows for improved reliability to drive continuous improvement,Change,GREEN,Other Blocked Priority,Incremental improvements,MEDIUM
964,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
965,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows to drive continuous improvement,Run,BLACK,Business Maintenance,Process support changes,MEDIUM
966,Security & Vulnerability Management,Update security scanning rules and suppression logic to drive continuous improvement,Change,ORANGE,Enterprise Strategic Priority,Security infrastructure,MEDIUM
967,Security & Vulnerability Management,Remediate identified vulnerabilities in shared services to enable required business functionality,Run,RED,Regulatory (Operational),Compliance operations,MEDIUM
968,Migrated Delivery,Stabilize workloads following platform migration to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
969,Security & Vulnerability Management,Harden service configurations based on security findings to unblock dependent teams,Run,GRAY,KTLO (Keep the Lights On),Security operations,MEDIUM
970,Migrated Delivery,Stabilize workloads following platform migration as part of ongoing maintenance activities,Run,BLACK,Business Maintenance,Process support changes,HIGH
971,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads to enable required business functionality,Change,ORANGE,Enterprise Strategic Priority,Reliability engineering,MEDIUM
972,Migrated Delivery,Address technical debt introduced during migration to unblock dependent teams,Run,BLACK,Technical Maintenance,Tech debt reduction,MEDIUM
973,Security & Vulnerability Management,Harden service configurations based on security findings to enable required business functionality,Run,BLACK,Technical Maintenance,Security hardening,MEDIUM
974,Continuous Improvement Feature,Refactor pipeline components to reduce operational overhead to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
975,Migrated Delivery,Resolve post-migration defects impacting service delivery to enable required business functionality,Change,ORANGE,Enterprise Strategic Priority,Migration transformation,MEDIUM
976,SRE Delivery: Chaos Engineering,Refine chaos experiment execution and rollback mechanisms to enable required business functionality,Change,ORANGE,Enterprise Strategic Priority,Reliability engineering,MEDIUM
977,Migrated Delivery,Stabilize workloads following platform migration to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
978,Acquisitions ART Production Support,Resolve operational issues affecting downstream integrations to drive continuous improvement,Change,GREEN,Other Blocked Priority,Acquisition improvements,MEDIUM
979,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows to enable required business functionality,Change,YELLOW,Top Divisional Priority,Acquisition initiative,MEDIUM
980,Security & Vulnerability Management,Remediate identified vulnerabilities in shared services to enable required business functionality,Run,RED,Regulatory (Operational),Compliance operations,MEDIUM
981,SRE Delivery: Chaos Engineering,Refine chaos experiment execution and rollback mechanisms to enable required business functionality,Run,BLACK,Technical Maintenance,Reliability improvement,MEDIUM
982,Migrated Delivery,Resolve post-migration defects impacting service delivery to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
983,Migrated Delivery,Stabilize workloads following platform migration to drive continuous improvement,Change,YELLOW,Top Divisional Priority,Migration completion,MEDIUM
984,SRE Delivery: Chaos Engineering,Stabilize fault injection scenarios for distributed services to drive continuous improvement,Run,GRAY,KTLO (Keep the Lights On),Reliability operations,MEDIUM
985,Continuous Improvement Feature,Improve observability and logging standards as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Observability,HIGH
986,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
987,Security & Vulnerability Management,Update security scanning rules and suppression logic to support production operations,Run,GRAY,KTLO (Keep the Lights On),Security operations,HIGH
988,Security & Vulnerability Management,Harden service configurations based on security findings to support production operations,Run,GRAY,KTLO (Keep the Lights On),Security operations,HIGH
989,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads to enable required business functionality,Run,GRAY,KTLO (Keep the Lights On),Reliability operations,MEDIUM
990,Migrated Delivery,Address technical debt introduced during migration to drive continuous improvement,Change,YELLOW,Top Divisional Priority,Migration completion,MEDIUM
991,SRE Delivery: Chaos Engineering,Stabilize fault injection scenarios for distributed services to drive continuous improvement,Run,GRAY,KTLO (Keep the Lights On),Reliability operations,MEDIUM
992,Migrated Delivery,Stabilize workloads following platform migration to unblock dependent teams,Change,YELLOW,Top Divisional Priority,Migration completion,MEDIUM
993,Security & Vulnerability Management,Remediate identified vulnerabilities in shared services to support production operations,Run,RED,Regulatory (Operational),Compliance operations,MEDIUM
994,SRE Delivery: Chaos Engineering,Stabilize fault injection scenarios for distributed services to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
995,Migrated Delivery,Resolve post-migration defects impacting service delivery to enable required business functionality,Run,GRAY,KTLO (Keep the Lights On),Post-migration stabilization,MEDIUM
996,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows to drive continuous improvement,Change,GREEN,Other Blocked Priority,Acquisition improvements,MEDIUM
997,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads to support production operations,Run,GRAY,KTLO (Keep the Lights On),Emergency break-fix,HIGH
998,Migrated Delivery,Address technical debt introduced during migration to enable required business functionality,Run,BLACK,Technical Maintenance,Tech debt reduction,MEDIUM
999,SRE Delivery: Chaos Engineering,Stabilize fault injection scenarios for distributed services to unblock dependent teams,Change,ORANGE,Enterprise Strategic Priority,Reliability engineering,MEDIUM
1000,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows to drive continuous improvement,Change,YELLOW,Top Divisional Priority,Acquisition initiative,MEDIUM
